transaction_id,merchant_id,amount,timestamp,payment_method,failure_code,retry_count,webhook_delay_seconds,gateway_error_rate_delta,merchant_failure_rate_delta,cross_merchant_failure_rate,customer_previous_successes,customer_previous_failures,incident_active,actual_root_cause
txn_000779_08a76e,merchant_034,8016.18,2026-08-01T00:20:52,wallet,card_expired,1,1.81,0.0547,0.101,0.0347,3,0,0,CARD_DECLINE
txn_001313_60a063,merchant_032,2050.69,2026-08-01T00:42:42,card,3ds_auth_failed,0,0.16,0.1759,0.0834,0.0676,5,1,0,OTP_TIMEOUT
txn_001398_c6605b,merchant_009,1950.48,2026-08-01T01:46:43,wallet,insufficient_funds,1,5.37,0.0651,0.0579,0.0286,5,2,0,INSUFFICIENT_FUNDS
txn_001453_f609ab,merchant_018,731.93,2026-08-01T02:09:16,upi,internal_error,0,5.31,0.9083,0.5105,0.2468,3,1,0,INFRASTRUCTURE
txn_001061_87da6b,merchant_023,2237.34,2026-08-01T02:17:26,netbanking,card_expired,1,0.24,0.0998,0.0965,0.0,0,5,0,CARD_DECLINE
txn_001445_bab9fa,merchant_003,2910.85,2026-08-01T02:17:30,wallet,insufficient_funds,1,0.76,0.026,0.0302,0.112,1,3,0,INSUFFICIENT_FUNDS
txn_001043_dd814c,merchant_011,2107.6,2026-08-01T02:42:37,upi,insufficient_funds,1,0.21,0.0,0.081,0.0044,2,4,0,INSUFFICIENT_FUNDS
txn_000339_b3c595,merchant_014,2885.36,2026-08-01T02:43:53,netbanking,internal_error,0,7.35,0.1461,0.5303,0.4437,3,1,0,INFRASTRUCTURE
txn_000711_214dea,merchant_002,1212.89,2026-08-01T02:46:15,upi,user_cancelled,0,4.3,0.079,0.047,0.0305,6,1,0,USER_ABANDONMENT
txn_000653_3041c0,merchant_038,3620.26,2026-08-01T02:52:20,card,session_expired,0,1.92,0.0956,0.0,0.0183,6,0,0,USER_ABANDONMENT
txn_000536_9f0ef7,merchant_026,3173.84,2026-08-01T02:58:39,upi,gateway_timeout,0,10.38,0.0764,0.0829,0.1703,1,0,0,WEBHOOK_AMBIGUITY
txn_000469_7e74a1,merchant_035,14646.52,2026-08-01T03:45:42,wallet,unknown,1,8.01,0.4482,0.006,0.1552,6,0,0,WEBHOOK_AMBIGUITY
txn_000114_453619,merchant_013,956.61,2026-08-01T04:13:27,netbanking,insufficient_funds,1,1.67,0.0507,0.0105,0.0472,1,4,0,INSUFFICIENT_FUNDS
txn_000034_8305cc,merchant_005,1946.8,2026-08-01T04:18:27,wallet,internal_error,0,8.61,0.2763,0.3818,0.4612,11,1,0,INFRASTRUCTURE
txn_001224_d901ae,merchant_032,1284.67,2026-08-01T04:19:47,card,gateway_timeout,1,3.42,0.4855,0.5891,0.2754,4,1,0,INFRASTRUCTURE
txn_000355_8e37b4,merchant_023,4402.1,2026-08-01T04:34:32,card,insufficient_funds,1,0.49,0.0537,0.0071,0.1094,4,4,0,INSUFFICIENT_FUNDS
txn_000359_d90fe4,merchant_014,11283.35,2026-08-01T04:56:06,card,user_cancelled,0,0.98,0.0821,0.0504,0.0173,5,0,0,USER_ABANDONMENT
txn_000654_f72450,merchant_014,3523.79,2026-08-01T05:05:06,netbanking,insufficient_funds,1,3.08,0.0442,0.1296,0.053,2,0,0,INSUFFICIENT_FUNDS
txn_000531_4df038,merchant_014,1176.02,2026-08-01T05:07:34,wallet,insufficient_funds,1,1.44,0.0942,0.0233,0.0,2,5,0,INSUFFICIENT_FUNDS
txn_000991_f6dea9,merchant_021,2434.57,2026-08-01T05:24:47,card,3ds_auth_failed,1,0.46,0.1511,0.1223,0.0,4,2,0,OTP_TIMEOUT
txn_000948_8d28ba,merchant_034,5039.17,2026-08-01T05:33:05,netbanking,invalid_card,2,2.16,0.0636,0.108,0.0129,0,1,0,CARD_DECLINE
txn_000474_af1a00,merchant_013,3443.33,2026-08-01T05:34:45,netbanking,issuer_declined,1,5.54,0.0414,0.0655,0.08,1,2,0,CARD_DECLINE
txn_000162_c3edea,merchant_014,2353.78,2026-08-01T05:38:17,card,invalid_card,1,1.72,0.0231,0.0084,0.0622,2,3,0,CARD_DECLINE
txn_000477_67d380,merchant_023,646.22,2026-08-01T05:45:36,card,session_expired,0,2.45,0.0,0.0638,0.0683,4,0,0,USER_ABANDONMENT
txn_001317_6c6317,merchant_009,517.01,2026-08-01T05:54:44,wallet,insufficient_funds,0,4.61,0.1421,0.0039,0.063,4,3,0,INSUFFICIENT_FUNDS
txn_000552_0e4f61,merchant_016,4092.7,2026-08-01T06:00:56,upi,insufficient_funds,1,0.93,0.0822,0.0,0.0179,1,1,0,INSUFFICIENT_FUNDS
txn_001247_939b14,merchant_007,2478.11,2026-08-01T06:16:04,wallet,gateway_timeout,1,7.89,0.7476,0.437,0.5076,10,0,0,INFRASTRUCTURE
txn_000360_c40be4,merchant_012,7586.11,2026-08-01T06:29:58,upi,service_unavailable,1,1.11,0.8555,0.3151,0.4834,5,1,0,INFRASTRUCTURE
txn_001411_2b7f75,merchant_001,738.67,2026-08-01T06:32:43,card,otp_timeout,1,3.49,0.0653,0.0523,0.0734,4,0,0,OTP_TIMEOUT
txn_000512_856783,merchant_006,1300.72,2026-08-01T06:44:22,netbanking,user_cancelled,0,1.99,0.0225,0.0,0.093,6,0,0,USER_ABANDONMENT
txn_000481_0aa5f8,merchant_031,511.03,2026-08-01T06:57:48,upi,insufficient_funds,0,1.71,0.0324,0.0958,0.0303,2,2,0,INSUFFICIENT_FUNDS
txn_000307_e16f14,merchant_015,395.65,2026-08-01T07:25:33,upi,insufficient_funds,1,0.74,0.1144,0.0232,0.1044,2,0,0,INSUFFICIENT_FUNDS
txn_000938_93dc7b,merchant_031,1121.92,2026-08-01T07:36:11,wallet,user_cancelled,0,1.55,0.0289,0.092,0.0544,3,0,0,USER_ABANDONMENT
txn_000366_367ef6,merchant_036,32212.01,2026-08-01T07:38:32,card,gateway_timeout,0,3.81,0.6068,0.3052,0.3761,7,2,0,INFRASTRUCTURE
txn_000201_a16c1f,merchant_021,2766.36,2026-08-01T07:44:27,wallet,3ds_auth_failed,1,2.19,0.0979,0.0407,0.0641,9,0,0,OTP_TIMEOUT
txn_000956_0982fc,merchant_002,5027.1,2026-08-01T07:46:37,upi,service_unavailable,1,4.4,0.5561,0.269,0.4084,3,0,0,INFRASTRUCTURE
txn_001091_e59989,merchant_034,7099.34,2026-08-01T07:51:12,netbanking,invalid_card,0,1.42,0.0515,0.075,0.1341,2,3,0,CARD_DECLINE
txn_001018_68fe5a,merchant_024,4402.53,2026-08-01T07:53:51,netbanking,invalid_card,0,0.95,0.0876,0.0267,0.0645,2,6,1,CARD_DECLINE
